Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2017-11,Manual,Serials,Serial,Volumes,withdraws,Serials,-21
2017-11,P-FILE-90,Book,Book,Titles,additions,Acquisitions,222
2017-11,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,222
2017-11,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,87
2017-11,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,87
2017-12,GENLOAD,Book,Book,Titles,additions,Acquisitions,157
2017-12,GENLOAD,Book,Book,Volumes,additions,Acquisitions,157
2017-12,Manual,Book,Book,Titles,additions,Cataloging,277
2017-12,Manual,Book,Book,Titles,additions,Serials,17
2017-12,Manual,Book,Book,Titles,withdraws,Cataloging,-4
2017-12,Manual,Book,Book,Volumes,additions,Cataloging,277
2017-12,Manual,Book,Book,Volumes,additions,Serials,18
2017-12,Manual,Book,Book,Volumes,withdraws,Cataloging,-5
2017-12,Manual,Document,Document,Volumes,additions,Serials,5
2017-12,Manual,eBook,eBook,Titles,additions,Cataloging,1
2017-12,Manual,eBook,eBook,Volumes,additions,Cataloging,13
2017-12,Manual,Media,CD-ROM,Volumes,additions,Serials,1
2017-12,Manual,Media,DVD,Titles,additions,Cataloging,1
2017-12,Manual,Media,DVD,Volumes,additions,Cataloging,4
2017-12,Manual,Serials,Periodical,Titles,additions,Serials,2
2017-12,Manual,Serials,Periodical,Volumes,additions,Serials,9
2017-12,Manual,Serials,Serial,Volumes,additions,Serials,31
2017-12,P-FILE-90,Book,Book,Titles,additions,Acquisitions,242
2017-12,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,242
2017-12,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,66
2017-12,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,66
2018-01,Manual,Book,Book,Titles,additions,Cataloging,609
2018-01,Manual,Book,Book,Titles,additions,Serials,42
2018-01,Manual,Book,Book,Titles,withdraws,Cataloging,-14
2018-01,Manual,Book,Book,Volumes,additions,Cataloging,614
2018-01,Manual,Book,Book,Volumes,additions,Serials,45
2018-01,Manual,Book,Book,Volumes,withdraws,Cataloging,-86
2018-01,Manual,Continuing,Periodical,Titles,additions,Serials,1
2018-01,Manual,Continuing,Periodical,Volumes,additions,Serials,3
2018-01,Manual,Continuing,Serial,Titles,withdraws,Serials,-2
2018-01,Manual,Continuing,Serial,Volumes,additions,Serials,40
2018-01,Manual,Continuing,Serial,Volumes,withdraws,Serials,-38
2018-01,Manual,Document,Document,Titles,additions,Serials,14
2018-01,Manual,Document,Document,Volumes,additions,Serials,16
2018-01,Manual,eBook,eBook,Titles,additions,Cataloging,2
2018-01,Manual,eBook,eBook,Titles,withdraws,Cataloging,-3
2018-01,Manual,eBook,eBook,Volumes,additions,Cataloging,2
2018-01,Manual,eBook,eBook,Volumes,withdraws,Cataloging,-3
2018-01,Manual,Media,CD-ROM,Titles,additions,Cataloging,1
2018-01,Manual,Media,CD-ROM,Volumes,additions,Cataloging,1
2018-01,Manual,Media,CD-ROM,Volumes,additions,Serials,2
2018-01,Manual,Media,DVD,Titles,additions,Cataloging,26
2018-01,Manual,Media,DVD,Volumes,additions,Cataloging,27
2018-01,Manual,Media,Microform,Titles,additions,Cataloging,1
2018-01,Manual,Media,Microform,Titles,additions,Serials,2
2018-01,Manual,Media,Microform,Volumes,additions,Cataloging,26
2018-01,Manual,Media,Microform,Volumes,additions,Serials,1
2018-01,Manual,Other,Games,Titles,additions,Cataloging,3
2018-01,Manual,Other,Games,Volumes,additions,Cataloging,3
2018-01,Manual,Other,Mixed,Titles,additions,Cataloging,2
2018-01,Manual,Other,Mixed,Volumes,additions,Cataloging,2
2018-01,P-FILE-90,Book,Book,Titles,additions,Monographs,188
2018-01,P-FILE-90,Book,Book,Volumes,additions,Monographs,191
2018-02,Manual,Book,Book,Titles,additions,Cataloging,480
2018-02,Manual,Book,Book,Titles,additions,Serials,32
2018-02,Manual,Book,Book,Titles,withdraws,Cataloging,-26
2018-02,Manual,Book,Book,Volumes,additions,Cataloging,491
2018-02,Manual,Book,Book,Volumes,additions,Serials,32
2018-02,Manual,Book,Book,Volumes,withdraws,Cataloging,-77
2018-02,Manual,Continuing,Periodical,Volumes,additions,Serials,61
2018-02,Manual,Continuing,Periodical,Volumes,withdraws,Serials,-96
2018-02,Manual,Continuing,Serial,Titles,additions,Serials,1
2018-02,Manual,Continuing,Serial,Titles,withdraws,Serials,-13
2018-02,Manual,Continuing,Serial,Volumes,additions,Serials,42
2018-02,Manual,Continuing,Serial,Volumes,withdraws,Serials,-205
2018-02,Manual,Document,Document,Titles,additions,Serials,3
2018-02,Manual,Document,Document,Titles,withdraws,Cataloging,-1
2018-02,Manual,Document,Document,Titles,withdraws,Serials,-2
2018-02,Manual,Document,Document,Volumes,additions,Serials,5
2018-02,Manual,Document,Document,Volumes,withdraws,Cataloging,-11
2018-02,Manual,Document,Document,Volumes,withdraws,Serials,-9
2018-02,Manual,eBook,eBook,Titles,additions,Cataloging,1
2018-02,Manual,eBook,eBook,Volumes,additions,Cataloging,1
2018-02,Manual,Media,CD-ROM,Volumes,additions,Serials,2
2018-02,Manual,Media,DVD,Titles,additions,Cataloging,14
2018-02,Manual,Media,DVD,Titles,withdraws,Cataloging,-1
2018-02,Manual,Media,DVD,Volumes,additions,Cataloging,14
2018-02,Manual,Media,DVD,Volumes,withdraws,Cataloging,-1
2018-02,Manual,Media,Microform,Volumes,additions,Serials,1
2018-02,Manual,Other,Games,Titles,additions,Cataloging,18
2018-02,Manual,Other,Games,Volumes,additions,Cataloging,18
2018-02,Manual,Other,Mixed,Titles,additions,Cataloging,10
2018-02,Manual,Other,Mixed,Volumes,additions,Cataloging,10
2018-02,P-FILE-90,Book,Book,Titles,additions,Monographs,86
2018-02,P-FILE-90,Book,Book,Volumes,additions,Monographs,86
2018-03,Manual,Book,Book,Titles,additions,Cataloging,625
2018-03,Manual,Book,Book,Titles,additions,Serials,11
2018-03,Manual,Book,Book,Titles,withdraws,Cataloging,-9
2018-03,Manual,Book,Book,Titles,withdraws,Serials,-1
2018-03,Manual,Book,Book,Volumes,additions,Cataloging,693
2018-03,Manual,Book,Book,Volumes,additions,Serials,11
2018-03,Manual,Book,Book,Volumes,withdraws,Cataloging,-10
2018-03,Manual,Book,Book,Volumes,withdraws,Serials,-1
2018-03,Manual,Continuing,Periodical,Titles,additions,Serials,3
2018-03,Manual,Continuing,Periodical,Titles,withdraws,Serials,-2
2018-03,Manual,Continuing,Periodical,Volumes,additions,Serials,233
2018-03,Manual,Continuing,Periodical,Volumes,withdraws,Serials,-33
2018-03,Manual,Continuing,Serial,Titles,additions,Serials,3
2018-03,Manual,Continuing,Serial,Titles,withdraws,Serials,-105
2018-03,Manual,Continuing,Serial,Volumes,additions,Serials,28
2018-03,Manual,Continuing,Serial,Volumes,withdraws,Serials,-1325
2018-03,Manual,Document,Document,Volumes,withdraws,Serials,-46
2018-03,Manual,eBook,eBook,Titles,additions,Cataloging,2
2018-03,Manual,eBook,eBook,Titles,withdraws,Cataloging,-3
2018-03,Manual,eBook,eBook,Volumes,additions,Cataloging,2
2018-03,Manual,eBook,eBook,Volumes,withdraws,Cataloging,-3
2018-03,Manual,eDoc,eDocument,Titles,additions,Cataloging,1
2018-03,Manual,eDoc,eDocument,Volumes,additions,Cataloging,1
2018-03,Manual,Media,CD-ROM,Volumes,additions,Serials,2
2018-03,Manual,Media,DVD,Titles,additions,Cataloging,6
2018-03,Manual,Media,DVD,Volumes,additions,Cataloging,8
2018-03,Manual,Media,Microform,Titles,additions,Cataloging,2
2018-03,Manual,Media,Microform,Volumes,additions,Cataloging,3
